pais_id,pais_nombre
013,Afganistán
015,"Aland, Islas"
017,Albania
023,Alemania
024,Antártica
025,"Alemania, República Democrática"
026,Armenia
027,Aruba
029,Bosnia y Herzegovina
031,Burkina Faso
037,Andorra
040,Angola
041,Anguila
043,Antigua y Barbuda
047,Antillas Holandesas
053,Arabia Saudita
059,Argelia
063,Argentina
069,Australia
072,Austria
074,Azerbaiyán
077,Bahamas
080,Bahrein
081,Bangla Desh
083,Barbados
087,Bélgica
088,Belice
090,Bermuda
091,Belarusia
093,Myanmar
097,Bolivia
098,"Bonaire, San Eustatios y Saba"
100,"Bonaire, Isla"
101,Botswana
102,"Bouvet, Isla"
105,Brasil
108,Brunei Darussalam
111,Bulgaria
115,Burundi
119,Bután
127,Cabo Verde
129,ZFP Zofrandina
130,ZFPE Colmotores
131,ZFPE Tablemac MDF
132,ZFPE Fundación Cardiovascular
133,ZFPE Aceites cimarrones
134,ZFPE Puerto Brisa
135,ZFPE Clínica Cardiovascular Corazón Joven
137,"Caimán, Islas"
141,Camboya
145,Camerún
149,Canadá
155,"Anglonormandas, Islas"
156,Ceilán
157,"Cantón y Enderburry, Islas"
159,Santa Sede
165,"Cocos (Keeling), Islas"
169,Colombia
173,Comoras
177,Congo
183,"Cook, Islas"
187,"Corea, República Democrática "
190,Corea
193,Costa de Marfil
196,Costa Rica
198,Croacia
199,Cuba
200,"Curazao, Isla"
203,Chad
207,Checoslovaquia
211,Chile
215,China
218,"Taiwán, Provincia de China"
221,Chipre
229,Benin
232,Dinamarca
235,Dominica
239,Ecuador
240,Egipto
242,El Salvador
243,Eritrea
244,Emiratos Árabes Unidos
245,España
246,Eslovaquia
247,Eslovenia
249,Estados Unidos
251,Estonia
253,Etiopia
259,"Feroe, Islas"
267,Filipinas
271,Finlandia
275,Francia
281,Gabón
285,Gambia
287,Georgia
289,Ghana
293,Gibraltar
297,Granada
301,Grecia
305,Groenlandia
309,Guadalupe
313,Guam
317,Guatemala
325,Guayana Francesa
327,Guernsey
329,Guinea
331,Guinea Ecuatorial
334,Guinea-Bissau
337,Guyana
341,Haití
343,"Heard y Mc Donald, Islas"
345,Honduras
351,Hong Kong
355,Hungría
361,India
365,Indonesia
369,Irak
372,"Irán, República Islámica de"
375,Irlanda
379,Islandia
383,Israel
386,Italia
391,Jamaica
395,"Johnston, islas"
399,Japón
401,Jersey
403,Jordania
406,Kazajstán
410,Kenia
411,Kiribati
412,Kirguistan
413,Kuwait
420,"Laos, República Popular Democrática"
426,Lesotho
429,Letonia
431,Líbano
434,Liberia
438,Libia
440,Liechtenstein
443,Lituania
445,Luxemburgo
447,Macao
448,Macedonia
450,Madagascar
455,Malasia
458,Malawi
461,Maldivas
464,Mali
467,Malta
468,"Man, Isla"
469,"Marianas del Norte, Islas"
472,"Marshall, Islas"
474,Marruecos
477,Martinica
485,Mauricio
488,Mauritania
489,Mayote
493,México
494,"Micronesia, Estados Federados de"
495,"Midway, islas"
496,"Moldavia, República de"
497,Mongolia
498,Mónaco
500,Montenegro
501,Montserrat
505,Mozambique
507,Namibia
508,Nauru
511,"Navidad (Christmas), Isla"
517,Nepal
521,Nicaragua
525,Níger
528,Nigeria
531,Niue
